--- Page 1 (index 0) Size: 612.0x792.0 ---

--- All Horizontal Lines ---
Y=32.0 X=149.5-151.1 W=1.6 [rect]
Y=144.1 X=36.0-576.2 W=540.2 [line]
Y=160.0 X=36.0-576.2 W=540.2 [line]
Y=221.7 X=36.0-576.2 W=540.2 [line]
Y=231.7 X=36.0-306.1 W=270.1 [line]
Y=231.7 X=306.1-576.2 W=270.1 [line]
Y=247.6 X=36.0-306.1 W=270.1 [line]
Y=247.6 X=306.1-576.2 W=270.1 [line]
Y=283.1 X=36.0-306.1 W=270.1 [line]
Y=283.1 X=306.1-576.2 W=270.1 [line]
Y=298.4 X=123.7-300.4 W=176.7 [line]
Y=298.4 X=429.4-570.4 W=141.0 [line]
Y=312.2 X=121.8-300.4 W=178.5 [line]
Y=312.2 X=386.0-570.4 W=184.4 [line]
Y=326.0 X=133.2-300.4 W=167.2 [line]
Y=326.0 X=397.3-570.4 W=173.0 [line]
Y=339.8 X=127.3-300.4 W=173.0 [line]
Y=339.8 X=422.3-570.4 W=148.0 [line]
Y=353.5 X=64.2-187.3 W=123.2 [line]
Y=353.5 X=216.0-235.3 W=19.3 [line]
Y=353.5 X=256.5-298.3 W=41.8 [line]
Y=353.5 X=396.9-570.4 W=173.4 [line]
Y=367.3 X=77.3-300.4 W=223.0 [line]
Y=367.3 X=439.7-570.4 W=130.7 [line]
Y=381.1 X=164.5-300.4 W=135.8 [line]
Y=448.7 X=176.7-247.3 W=70.6 [line]
Y=454.9 X=36.0-306.1 W=270.1 [line]
Y=454.9 X=306.1-576.2 W=270.1 [line]
Y=485.3 X=36.0-306.1 W=270.1 [line]
Y=485.3 X=306.1-576.2 W=270.1 [line]
Y=498.9 X=36.0-306.1 W=270.1 [line]
Y=498.9 X=306.1-576.2 W=270.1 [line]
Y=514.2 X=88.5-300.4 W=211.8 [line]
Y=514.2 X=415.9-570.4 W=154.5 [line]
Y=528.0 X=115.3-300.4 W=185.0 [line]
Y=528.0 X=358.5-570.4 W=211.9 [line]
Y=541.8 X=83.3-300.4 W=217.0 [line]
Y=541.8 X=409.7-570.4 W=160.7 [line]
Y=555.6 X=76.2-300.4 W=224.2 [line]
Y=555.6 X=416.7-570.4 W=153.7 [line]
Y=561.8 X=36.0-306.1 W=270.1 [line]
Y=561.8 X=306.1-576.2 W=270.1 [line]
Y=577.6 X=36.0-306.1 W=270.1 [line]
Y=577.6 X=306.1-576.2 W=270.1 [line]
Y=630.5 X=238.5-570.4 W=331.8 [line]
Y=725.6 X=36.0-306.1 W=270.1 [line]
Y=725.6 X=306.1-576.2 W=270.1 [line]

--- All Words ---
Y=62.8 X=36.0-91.5 'RECO'
Y=62.8 X=98.4-156.7 'HVAC'
Y=62.8 X=163.6-234.8 'Instant'
Y=62.8 X=241.6-314.1 'Rebate'
Y=62.8 X=321.0-412.2 'Program'
Y=95.0 X=36.0-98.3 'Incentive'
Y=95.0 X=102.8-141.4 'Claim'
Y=95.0 X=145.8-180.9 'Form'
Y=96.8 X=185.3-240.7 '(12/31/23'
Y=96.8 X=244.3-250.8 '–'
Y=96.8 X=254.4-302.6 '6/30/24)'
Y=147.4 X=276.2-336.1 'Instructions'
Y=169.8 X=43.3-98.0 'Participating'
Y=169.8 X=100.5-149.6 'Contractor:'
Y=169.8 X=152.1-179.0 'Please'
Y=169.8 X=181.5-208.8 'submit'
Y=169.8 X=211.3-225.7 'this'
Y=169.8 X=228.2-264.0 'incentive'
Y=169.8 X=266.5-287.8 'claim'
Y=169.8 X=290.3-308.9 'form'
Y=169.8 X=311.4-333.5 'along'
Y=169.8 X=336.0-352.7 'with'
Y=169.8 X=355.2-360.0 'a'
Y=169.8 X=362.5-394.5 'detailed'
Y=169.8 X=397.0-414.5 'paid'
Y=169.8 X=417.0-444.5 'receipt'
Y=169.8 X=447.0-455.2 'or'
Y=169.8 X=457.7-488.5 'invoice.'
Y=169.8 X=491.0-500.9 'All'
Y=169.8 X=503.4-543.7 'submitted'
Y=179.8 X=43.3-75.3 'receipts'
Y=179.8 X=77.8-86.0 'or'
Y=179.8 X=88.5-121.3 'invoices'
Y=179.8 X=123.8-143.8 'must'
Y=179.8 X=146.3-175.4 'include'
Y=179.8 X=177.9-190.5 'the'
Y=179.8 X=193.0-210.7 'total'
Y=179.8 X=213.2-240.2 'instant'
Y=179.8 X=242.7-268.2 'rebate'
Y=179.8 X=270.7-301.2 'amount'
Y=179.8 X=303.7-339.1 'provided'
Y=179.8 X=341.6-349.6 'to'
Y=179.8 X=352.1-356.9 'a'
Y=179.8 X=359.4-397.3 'customer'
Y=179.8 X=399.8-407.4 'at'
Y=179.8 X=409.9-422.6 'the'
Y=179.8 X=425.1-445.5 'point'
Y=179.8 X=448.0-455.8 'of'
Y=179.8 X=458.3-474.4 'sale'
Y=179.8 X=477.0-485.1 'or'
Y=179.8 X=487.6-530.6 'installation'
Y=179.8 X=533.1-548.3 'and'
Y=189.8 X=43.3-56.0 'the'
Y=189.8 X=58.5-83.5 'model'
Y=189.8 X=86.0-101.2 'and'
Y=189.8 X=103.7-124.8 'serial'
Y=189.8 X=127.3-167.4 'number(s)'
Y=189.8 X=169.9-180.7 'for'
Y=189.8 X=183.2-202.7 'each'
