--- Page 2 (index 1) Size: 612.0x792.0 ---

--- All Horizontal Lines ---
Y=  32.0 X= 149.5-151.1 W=  1.6 [rect]
Y= 144.1 X=  36.0-172.1 W=136.1 [line]
Y= 144.1 X= 172.1-219.6 W= 47.5 [line]
Y= 144.1 X= 219.6-281.5 W= 61.9 [line]
Y= 144.1 X= 281.5-331.2 W= 49.7 [line]
Y= 144.1 X= 331.2-393.8 W= 62.6 [line]
Y= 144.1 X= 393.8-461.5 W= 67.7 [line]
Y= 144.1 X= 461.5-524.2 W= 62.6 [line]
Y= 144.1 X= 524.2-576.0 W= 51.8 [line]
Y= 160.0 X=  36.0-172.1 W=136.1 [line]
Y= 160.0 X= 172.1-219.6 W= 47.5 [line]
Y= 160.0 X= 219.6-281.5 W= 61.9 [line]
Y= 160.0 X= 281.5-331.2 W= 49.7 [line]
Y= 160.0 X= 331.2-393.8 W= 62.6 [line]
Y= 160.0 X= 393.8-461.5 W= 67.7 [line]
Y= 160.0 X= 461.5-524.2 W= 62.6 [line]
Y= 160.0 X= 524.2-576.0 W= 51.8 [line]
Y= 209.7 X=  36.0-172.1 W=136.1 [line]
Y= 209.7 X= 172.1-219.6 W= 47.5 [line]
Y= 209.7 X= 219.6-281.5 W= 61.9 [line]
Y= 209.7 X= 281.5-331.2 W= 49.7 [line]
Y= 209.7 X= 331.2-393.8 W= 62.6 [line]
Y= 209.7 X= 393.8-461.5 W= 67.7 [line]
Y= 209.7 X= 461.5-524.2 W= 62.6 [line]
Y= 209.7 X= 524.2-576.0 W= 51.8 [line]
Y= 225.3 X= 172.0-219.6 W= 47.6 [line]
Y= 225.3 X= 219.6-281.5 W= 61.9 [line]
Y= 225.3 X= 281.5-331.2 W= 49.7 [line]
Y= 225.3 X= 331.2-393.8 W= 62.6 [line]
Y= 225.3 X= 393.8-461.6 W= 67.8 [line]
Y= 240.9 X= 172.0-219.6 W= 47.6 [line]
Y= 240.9 X= 219.6-281.5 W= 61.9 [line]
Y= 240.9 X= 281.5-331.2 W= 49.7 [line]
Y= 240.9 X= 331.2-393.8 W= 62.6 [line]
Y= 240.9 X= 393.8-461.6 W= 67.8 [line]
Y= 256.5 X=  36.0-172.1 W=136.1 [line]
Y= 256.5 X= 172.1-219.6 W= 47.5 [line]
Y= 256.5 X= 219.6-281.5 W= 61.9 [line]
Y= 256.5 X= 281.5-331.2 W= 49.7 [line]
Y= 256.5 X= 331.2-393.8 W= 62.6 [line]
Y= 256.5 X= 393.8-461.5 W= 67.7 [line]
